EstudianteID,Tags
1,"analisis, analisis de dato, aprendizaje, automatizacion, dato, habilidad, inteligencia, inteligencia artificial, machine learning, programacion"
2,"administracion, administracion de sistema, ciberseguridad, hardware, red, seguridad, seguridad informatico, sistema"
3,"algoritmos, capacidad, logico, matematica, pensamiento logico, problema, resolucion, resolucion de problema"
4,"backend, base, base de dato, dato, desarrollo, desarrollo web, diseño, frontend"
5,"automatizacion, conocimiento, electronica, electronico, ingenieria, ingenierio, programacion, robotica, robotico"
6,"creatividad, grafico, inteligencia, inteligencia artificial, programacion, videojuego"
7,"biologia, biotecnologia, genetica, genetico, investigacion, laboratorio"
8,"aplicación, desarrollo android, desarrollo ios, experiencia, experiencia de usuario, movil, usuario"
9,"analisis de dato, big, big datar, ciencia, ciencia de dato, data, dato, estadistica, estadisticar, visualizacion"
10,"desarrollo, electronico, hardware, microcontrolador, programacion, sistema, sistema embebido"
11,"emprendimiento, gestion, habilidad, innovacion, inteligencia, inteligencia de negocio, liderazgo"
12,"diseno, diseño 3d, multimedia, programacion, realidad, realidad aumentado, realidad virtual"
13,"aprendizaje, educacion, innovacion, pedagogia, tecnologia, tecnologia educativo"
14,"blockchain, criptomoneda, desarrollo, desarrollo de software, finanza, seguridad, software"
15,"big datar, chatbot, chatgpt, ciencia de dato, ia, machine learning, mundo"
16,"computadora, internet, red"
17,"algoritmo, eficient, optimizacion, problema, restriccion, satisfaccion, solucion"
