EstudianteID,1,2,3,4,5,6,7,8
1,0.8276095471031744,0.6600839580305119,0.788255612411809,0.7381421886042356,0.7168406451552535,0.7547213356029372,0.7353054230187708,0.8208820207186807
2,0.6743640178370492,0.8130195825272954,0.675880173330564,0.7995223281456694,0.7116618982411931,0.6329559940819143,0.7092846556722283,0.6604743538513893
3,0.7252118410713267,0.5677323225288595,0.7664797900502923,0.7169871501058118,0.6662283088670103,0.6402248359114368,0.7476094914379505,0.807150058341192
4,0.7217937947204398,0.6654148925894603,0.7610696259211553,0.7582292076468361,0.8508527742568867,0.7279884297775852,0.7422723100309192,0.7539830305370219
5,0.7425235776330977,0.6743955143540352,0.7583752145318511,0.7290654441063795,0.6876603240423688,0.7443265085474506,0.719089173257225,0.7718390400548649
6,0.7994479331942306,0.6330705474763179,0.7459058823211817,0.6989135012723675,0.6472356763764886,0.7389701166094406,0.7012460311296514,0.7902431760741783
7,0.6070086096374148,0.5926364444519338,0.7002984644339085,0.6283731282321988,0.6313185631119627,0.631791396964537,0.6164359790465653,0.6487801373058769
8,0.7346744626124242,0.6147444388194496,0.6274552410181564,0.6869809091803757,0.6614970624249835,0.7138547281667467,0.6698249714881068,0.7125221431589681
9,0.7181330667095229,0.6414096252766293,0.8092924170418372,0.7311222836649941,0.7823083513489109,0.6630350908152093,0.7168727436664195,0.7634389871292651
10,0.6828110994039607,0.690259747380316,0.7510200229407018,0.8020835941564617,0.7060436524377791,0.7964578880625756,0.7197357702114231,0.780317332618652
11,0.7782384528493214,0.5868928302861827,0.6510593822525634,0.7832513190213202,0.6984421856682178,0.6692836578858561,0.6540995766698233,0.7150562042039306
12,0.685949787575644,0.620235740489812,0.6517768588588668,0.6958601737651697,0.6813446608640998,0.6378946159177123,0.6581823566234768,0.7296767900662635
13,0.7307665695785315,0.5935703432270473,0.647207375451966,0.6423559641641385,0.6041784345603808,0.7121834805775155,0.5938623499687415,0.6889561738439032
14,0.7125746078882909,0.7271944570027695,0.7283629177601572,0.7421618881007357,0.7023959563052897,0.8255542283774258,0.819768798088843,0.784361234344984
15,0.7525266851403727,0.7156781794727273,0.8041317422800243,0.7099145606878502,0.739805971032154,0.6697409103056225,0.7680090437906798,0.7577458811804917
16,0.7124110023341844,0.8378674690863753,0.6983682108316522,0.6397715374924924,0.6303067590849882,0.5429916502641409,0.6346082867105853,0.6267373813031786
17,0.6750972430891576,0.5769645372351315,0.7307325139449822,0.7256536962124536,0.6611877533444958,0.6894643687983462,0.7760603783903377,0.8861888756981066
